ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
17,0.500,0.000,0.000,0.000,0.000,0.500,-2.34%,-0.62%,0.977324783773235,10.69%,65.00%,45.00%
18,0.000,0.500,0.000,0.000,0.000,0.500,0.62%,0.02%,0.864121719892631,8.73%,60.00%,50.00%
19,0.000,0.000,0.500,0.000,0.000,0.500,1.53%,0.33%,1.06693844484371,10.90%,55.00%,60.00%
20,0.000,0.000,0.000,0.500,0.000,0.500,0.11%,-0.06%,1.00770375166475,10.34%,55.00%,50.00%
21,0.000,0.000,0.000,0.000,0.500,0.500,1.00%,0.07%,0.800792483114351,7.88%,55.00%,45.00%
22,0.333,0.333,0.333,0.000,0.000,0.000,7.80%,2.13%,1.5092227906224,15.80%,55.00%,65.00%
23,0.333,0.333,0.000,0.333,0.000,0.000,6.43%,1.61%,1.34768636692003,13.80%,60.00%,50.00%
24,0.333,0.000,0.333,0.333,0.000,0.000,6.83%,2.02%,1.67432002788575,17.71%,55.00%,40.00%
25,0.000,0.333,0.333,0.333,0.000,0.000,8.05%,2.00%,1.33183787312862,13.57%,55.00%,65.00%
26,0.333,0.333,0.000,0.000,0.333,0.000,4.53%,1.09%,1.25650542122296,12.43%,60.00%,70.00%
27,0.333,0.000,0.333,0.000,0.333,0.000,6.73%,1.97%,1.61401802332804,17.39%,55.00%,60.00%
28,0.000,0.333,0.333,0.000,0.333,0.000,5.02%,1.18%,1.21094655360059,11.96%,55.00%,65.00%
29,0.333,0.000,0.000,0.333,0.333,0.000,5.02%,1.26%,1.3403148753313,13.66%,60.00%,55.00%
30,0.000,0.333,0.000,0.333,0.333,0.000,4.26%,1.07%,1.1593358089321,12.22%,65.00%,60.00%
31,0.000,0.000,0.333,0.333,0.333,0.000,7.89%,1.98%,1.37412028655447,14.05%,60.00%,65.00%
32,0.333,0.333,0.000,0.000,0.000,0.333,1.69%,0.32%,0.911257538148251,9.66%,65.00%,45.00%
33,0.333,0.000,0.333,0.000,0.000,0.333,0.02%,0.08%,1.22123936514828,13.00%,60.00%,50.00%
34,0.000,0.333,0.333,0.000,0.000,0.333,4.58%,1.02%,1.002048959969,10.09%,55.00%,55.00%
35,0.333,0.000,0.000,0.333,0.000,0.333,2.08%,0.48%,1.11725322700999,11.73%,55.00%,55.00%
36,0.000,0.333,0.000,0.333,0.000,0.333,2.22%,0.43%,0.948520311824013,9.71%,55.00%,40.00%
37,0.000,0.000,0.333,0.333,0.000,0.333,4.62%,1.12%,1.20404106746577,12.43%,55.00%,45.00%
38,0.333,0.000,0.000,0.000,0.333,0.333,1.77%,0.31%,0.924853412215125,9.36%,60.00%,50.00%
39,0.000,0.333,0.000,0.000,0.333,0.333,2.40%,0.43%,0.857932816811318,8.48%,65.00%,45.00%
40,0.000,0.000,0.333,0.000,0.333,0.333,1.72%,0.27%,0.905352419512736,8.98%,55.00%,50.00%
41,0.000,0.000,0.000,0.333,0.333,0.333,1.00%,0.11%,0.889153520370097,9.09%,60.00%,45.00%
42,0.250,0.250,0.250,0.250,0.000,0.000,9.61%,2.47%,1.48103126725664,15.36%,55.00%,50.00%
43,0.250,0.250,0.250,0.000,0.250,0.000,5.80%,1.46%,1.34710891328833,13.66%,55.00%,70.00%
44,0.250,0.250,0.000,0.250,0.250,0.000,6.42%,1.56%,1.21707790692659,12.51%,65.00%,65.00%
45,0.250,0.000,0.250,0.250,0.250,0.000,6.56%,1.81%,1.57902822205616,16.25%,55.00%,45.00%
46,0.000,0.250,0.250,0.250,0.250,0.000,6.77%,1.67%,1.26945020534147,13.04%,60.00%,55.00%
47,0.250,0.250,0.250,0.000,0.000,0.250,4.29%,1.04%,1.1360646330057,11.75%,60.00%,60.00%
48,0.250,0.250,0.000,0.250,0.000,0.250,3.36%,0.73%,0.996955142809022,10.25%,55.00%,60.00%
49,0.250,0.000,0.250,0.250,0.000,0.250,4.36%,1.16%,1.31225730127587,13.93%,60.00%,50.00%
50,0.000,0.250,0.250,0.250,0.000,0.250,5.13%,1.17%,1.07187977771776,10.85%,60.00%,60.00%
51,0.250,0.250,0.000,0.000,0.250,0.250,2.39%,0.42%,0.852324781014967,8.39%,55.00%,55.00%
52,0.250,0.000,0.250,0.000,0.250,0.250,2.07%,0.45%,1.09406169261229,11.22%,60.00%,60.00%
53,0.000,0.250,0.250,0.000,0.250,0.250,3.74%,0.76%,0.906347413776499,8.92%,55.00%,65.00%
54,0.250,0.000,0.000,0.250,0.250,0.250,3.09%,0.64%,0.979382952422397,10.05%,55.00%,65.00%
55,0.000,0.250,0.000,0.250,0.250,0.250,1.86%,0.34%,0.892118302906435,9.20%,65.00%,40.00%
56,0.000,0.000,0.250,0.250,0.250,0.250,3.67%,0.79%,1.04857062183432,10.51%,60.00%,55.00%
57,0.200,0.200,0.200,0.200,0.200,0.000,8.05%,2.00%,1.37197448621294,13.92%,55.00%,60.00%
58,0.200,0.200,0.200,0.200,0.000,0.200,5.49%,1.30%,1.18178448944104,11.92%,55.00%,55.00%
59,0.200,0.200,0.200,0.000,0.200,0.200,3.47%,0.74%,1.01077057592519,10.08%,55.00%,65.00%
60,0.200,0.200,0.000,0.200,0.200,0.200,3.37%,0.68%,0.918444485368479,9.20%,60.00%,60.00%
61,0.200,0.000,0.200,0.200,0.200,0.200,4.49%,1.04%,1.16287812738739,11.82%,55.00%,50.00%
62,0.000,0.200,0.200,0.200,0.200,0.200,4.05%,0.88%,0.998392016973973,10.06%,60.00%,65.00%
63,0.167,0.167,0.167,0.167,0.167,0.167,5.75%,1.29%,1.04848934634313,10.50%,55.00%,75.00%
