ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
17,0.500,0.000,0.000,0.000,0.000,0.500,7.01%,-1.83%,0.746329999703915,9.37%,55.00%,30.00%
18,0.000,0.500,0.000,0.000,0.000,0.500,15.30%,-1.47%,1.06262868929149,10.48%,60.00%,40.00%
19,0.000,0.000,0.500,0.000,0.000,0.500,8.86%,-2.63%,1.01274070355523,10.93%,55.00%,30.00%
20,0.000,0.000,0.000,0.500,0.000,0.500,15.47%,-1.62%,1.18198559660819,14.43%,60.00%,40.00%
21,0.000,0.000,0.000,0.000,0.500,0.500,13.27%,-2.04%,1.05664430620391,8.96%,65.00%,30.00%
22,0.333,0.333,0.333,0.000,0.000,0.000,11.77%,-1.33%,0.87802061559013,10.22%,60.00%,35.00%
23,0.333,0.333,0.000,0.333,0.000,0.000,16.66%,-0.32%,0.891597203642691,9.91%,65.00%,35.00%
24,0.333,0.000,0.333,0.333,0.000,0.000,10.90%,-1.32%,0.833827479498978,9.94%,65.00%,25.00%
25,0.000,0.333,0.333,0.333,0.000,0.000,17.45%,-0.91%,1.04933835280926,10.59%,65.00%,35.00%
26,0.333,0.333,0.000,0.000,0.333,0.000,13.65%,-0.79%,0.824096842312878,8.16%,70.00%,35.00%
27,0.333,0.000,0.333,0.000,0.333,0.000,11.75%,-1.67%,0.93617761010595,9.86%,65.00%,25.00%
28,0.000,0.333,0.333,0.000,0.333,0.000,14.12%,-1.72%,1.03799842883997,9.31%,65.00%,30.00%
29,0.333,0.000,0.000,0.333,0.333,0.000,12.30%,-0.70%,0.746758539131361,8.00%,70.00%,30.00%
30,0.000,0.333,0.000,0.333,0.333,0.000,20.28%,-1.30%,1.24483866329054,11.00%,75.00%,40.00%
31,0.000,0.000,0.333,0.333,0.333,0.000,12.18%,-1.84%,0.973875915463223,8.96%,60.00%,30.00%
32,0.333,0.333,0.000,0.000,0.000,0.333,12.16%,-0.80%,0.78439633911899,9.56%,70.00%,35.00%
33,0.333,0.000,0.333,0.000,0.000,0.333,7.10%,-2.55%,0.91337224407955,10.77%,50.00%,35.00%
34,0.000,0.333,0.333,0.000,0.000,0.333,14.94%,-1.42%,1.04190829067855,10.69%,60.00%,40.00%
35,0.333,0.000,0.000,0.333,0.000,0.333,11.51%,-0.96%,0.780742222435431,9.24%,60.00%,35.00%
36,0.000,0.333,0.000,0.333,0.000,0.333,19.47%,-0.81%,1.13342242514908,11.60%,65.00%,40.00%
37,0.000,0.000,0.333,0.333,0.000,0.333,14.04%,-1.57%,1.03865808765484,11.00%,60.00%,35.00%
38,0.333,0.000,0.000,0.000,0.333,0.333,9.95%,-1.08%,0.725620036282203,8.68%,65.00%,30.00%
39,0.000,0.333,0.000,0.000,0.333,0.333,17.67%,-1.54%,1.15966514835343,9.71%,65.00%,50.00%
40,0.000,0.000,0.333,0.000,0.333,0.333,10.75%,-2.32%,1.02353222142843,10.26%,60.00%,30.00%
41,0.000,0.000,0.000,0.333,0.333,0.333,19.03%,-1.78%,1.33260004815273,13.56%,60.00%,35.00%
42,0.250,0.250,0.250,0.250,0.000,0.000,13.70%,-1.03%,0.900159240861221,9.88%,65.00%,30.00%
43,0.250,0.250,0.250,0.000,0.250,0.000,12.80%,-1.16%,0.874285704241262,9.20%,65.00%,35.00%
44,0.250,0.250,0.000,0.250,0.250,0.000,17.23%,-0.59%,0.952110264178381,9.05%,70.00%,35.00%
45,0.250,0.000,0.250,0.250,0.250,0.000,10.14%,-1.54%,0.82174432234448,8.64%,60.00%,25.00%
46,0.000,0.250,0.250,0.250,0.250,0.000,17.78%,-1.43%,1.14913488514914,10.02%,60.00%,40.00%
47,0.250,0.250,0.250,0.000,0.000,0.250,11.99%,-1.28%,0.88630861495049,10.61%,60.00%,35.00%
48,0.250,0.250,0.000,0.250,0.000,0.250,16.21%,0.02%,0.801211447249687,9.42%,65.00%,45.00%
49,0.250,0.000,0.250,0.250,0.000,0.250,10.36%,-1.66%,0.885673561661748,10.58%,50.00%,25.00%
50,0.000,0.250,0.250,0.250,0.000,0.250,15.67%,-1.20%,1.03281216919258,10.67%,65.00%,35.00%
51,0.250,0.250,0.000,0.000,0.250,0.250,13.89%,-0.70%,0.836850998385763,9.44%,75.00%,40.00%
52,0.250,0.000,0.250,0.000,0.250,0.250,10.03%,-1.96%,0.919782099694458,10.15%,65.00%,35.00%
53,0.000,0.250,0.250,0.000,0.250,0.250,14.98%,-1.36%,1.01420285374127,9.70%,65.00%,45.00%
54,0.250,0.000,0.000,0.250,0.250,0.250,13.06%,-0.79%,0.804670862365341,8.54%,65.00%,20.00%
55,0.000,0.250,0.000,0.250,0.250,0.250,21.92%,-0.51%,1.16365777670092,11.04%,65.00%,40.00%
56,0.000,0.000,0.250,0.250,0.250,0.250,12.48%,-1.66%,0.96274753765473,9.55%,65.00%,35.00%
57,0.200,0.200,0.200,0.200,0.200,0.000,13.87%,-1.06%,0.902265557095482,9.29%,70.00%,30.00%
58,0.200,0.200,0.200,0.200,0.000,0.200,14.11%,-0.90%,0.895338519091244,10.04%,60.00%,30.00%
59,0.200,0.200,0.200,0.000,0.200,0.200,11.64%,-1.55%,0.91270622447465,10.11%,70.00%,40.00%
60,0.200,0.200,0.000,0.200,0.200,0.200,16.06%,-0.72%,0.930771321318357,9.20%,70.00%,40.00%
61,0.200,0.000,0.200,0.200,0.200,0.200,11.47%,-1.31%,0.85312155416401,9.71%,55.00%,30.00%
62,0.000,0.200,0.200,0.200,0.200,0.200,17.03%,-1.30%,1.09642607605322,10.05%,65.00%,30.00%
63,0.167,0.167,0.167,0.167,0.167,0.167,13.73%,-1.11%,0.910100800805274,9.50%,70.00%,35.00%
