ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
22,0.333,0.333,0.333,0.000,0.000,0.000,30.01%,7.40%,1.06721770622364,12.06%,85.00%,85.00%
23,0.333,0.333,0.000,0.333,0.000,0.000,26.16%,6.37%,0.862257181782766,9.71%,85.00%,90.00%
24,0.333,0.000,0.333,0.333,0.000,0.000,25.29%,6.52%,1.14621140883728,12.87%,75.00%,70.00%
25,0.000,0.333,0.333,0.333,0.000,0.000,23.14%,5.88%,1.02522694148741,11.28%,80.00%,80.00%
26,0.333,0.333,0.000,0.000,0.333,0.000,19.41%,4.90%,0.865789536678537,9.29%,80.00%,85.00%
27,0.333,0.000,0.333,0.000,0.333,0.000,24.11%,6.29%,1.22205461371747,13.07%,70.00%,90.00%
28,0.000,0.333,0.333,0.000,0.333,0.000,19.00%,4.81%,0.889621833936658,9.33%,80.00%,90.00%
29,0.333,0.000,0.000,0.333,0.333,0.000,15.17%,4.05%,1.02623592478609,10.34%,65.00%,80.00%
30,0.000,0.333,0.000,0.333,0.333,0.000,5.69%,1.78%,0.95005973510497,9.44%,60.00%,80.00%
31,0.000,0.000,0.333,0.333,0.333,0.000,16.55%,4.39%,1.03267545378547,10.64%,70.00%,90.00%
32,0.333,0.333,0.000,0.000,0.000,0.333,27.94%,6.82%,0.894291581740562,10.60%,80.00%,80.00%
33,0.333,0.000,0.333,0.000,0.000,0.333,24.29%,6.52%,1.31297562727847,14.66%,65.00%,70.00%
34,0.000,0.333,0.333,0.000,0.000,0.333,28.80%,7.18%,1.09791237160339,12.45%,75.00%,80.00%
35,0.333,0.000,0.000,0.333,0.000,0.333,15.93%,4.39%,1.04815140483215,11.92%,70.00%,65.00%
36,0.000,0.333,0.000,0.333,0.000,0.333,16.64%,4.43%,0.961474065301305,10.97%,65.00%,75.00%
37,0.000,0.000,0.333,0.333,0.000,0.333,21.28%,5.78%,1.20118270306259,13.78%,70.00%,70.00%
38,0.333,0.000,0.000,0.000,0.333,0.333,19.84%,5.50%,1.37968626091211,14.15%,70.00%,80.00%
39,0.000,0.333,0.000,0.000,0.333,0.333,13.61%,3.63%,0.990142126972353,9.71%,55.00%,85.00%
40,0.000,0.000,0.333,0.000,0.333,0.333,22.65%,5.96%,1.1839961819191,12.94%,70.00%,75.00%
41,0.000,0.000,0.000,0.333,0.333,0.333,1.16%,1.20%,1.3091877304767,14.06%,50.00%,50.00%
42,0.250,0.250,0.250,0.250,0.000,0.000,27.50%,6.84%,1.02802871894279,11.64%,85.00%,85.00%
43,0.250,0.250,0.250,0.000,0.250,0.000,25.62%,6.39%,1.0284686868621,11.08%,80.00%,90.00%
44,0.250,0.250,0.000,0.250,0.250,0.000,16.35%,4.21%,0.887199273376653,9.12%,75.00%,85.00%
45,0.250,0.000,0.250,0.250,0.250,0.000,23.07%,5.92%,1.08146677439444,11.58%,70.00%,85.00%
46,0.000,0.250,0.250,0.250,0.250,0.000,16.12%,4.18%,0.915069481971682,9.40%,70.00%,85.00%
47,0.250,0.250,0.250,0.000,0.000,0.250,28.09%,7.06%,1.08141567046545,12.64%,75.00%,85.00%
48,0.250,0.250,0.000,0.250,0.000,0.250,23.88%,5.95%,0.885613987015488,10.41%,70.00%,85.00%
49,0.250,0.000,0.250,0.250,0.000,0.250,24.33%,6.42%,1.17513406133545,13.79%,70.00%,65.00%
50,0.000,0.250,0.250,0.250,0.000,0.250,24.13%,6.21%,1.08849983037164,12.40%,75.00%,80.00%
51,0.250,0.250,0.000,0.000,0.250,0.250,24.44%,6.03%,0.908558879858028,9.91%,80.00%,85.00%
52,0.250,0.000,0.250,0.000,0.250,0.250,24.92%,6.56%,1.30145407560761,14.00%,70.00%,80.00%
53,0.000,0.250,0.250,0.000,0.250,0.250,23.17%,5.84%,1.01368370852621,10.81%,80.00%,80.00%
54,0.250,0.000,0.000,0.250,0.250,0.250,16.67%,4.54%,1.06851009380207,11.76%,70.00%,70.00%
55,0.000,0.250,0.000,0.250,0.250,0.250,10.98%,3.10%,1.01362853110589,10.42%,55.00%,75.00%
56,0.000,0.000,0.250,0.250,0.250,0.250,19.19%,5.17%,1.13350154793691,12.41%,65.00%,75.00%
57,0.200,0.200,0.200,0.200,0.200,0.000,24.23%,6.03%,0.975507153222619,10.42%,80.00%,85.00%
58,0.200,0.200,0.200,0.200,0.000,0.200,26.76%,6.74%,1.01917258093504,12.09%,75.00%,85.00%
59,0.200,0.200,0.200,0.000,0.200,0.200,27.64%,6.91%,1.08058288337879,12.03%,75.00%,85.00%
60,0.200,0.200,0.000,0.200,0.200,0.200,19.50%,4.96%,0.908428925643007,9.80%,80.00%,85.00%
61,0.200,0.000,0.200,0.200,0.200,0.200,24.20%,6.28%,1.14972987871062,12.73%,75.00%,75.00%
62,0.000,0.200,0.200,0.200,0.200,0.200,20.01%,5.13%,0.99765594882205,10.54%,70.00%,90.00%
63,0.167,0.167,0.167,0.167,0.167,0.167,26.69%,6.63%,0.998147585233246,11.20%,80.00%,85.00%
